,form,Type,NoSpaceAfter,id
0,இருக்கிறீர்கள்,Verb,2.0,-0
1,இருக்கினறனர்,Verb,2.0,-1
2,காட்டிலும்,Particles,0.0,2
3,இடமிருந்து,Conjunctions,0.0,3
4,இருக்கிறது,Verb,2.0,-4
5,இருக்கின்ற,Adjectives,2.0,-5
6,இருந்தார்,Verb,2.0,-6
7,இருந்தால்,Verb,2.0,-7
8,இலிருந்து,Conjunctions,2.0,-8
9,கொடுப்பத்,Particles,1.0,9
10,குறைவாகவே,Quantifiers,0.0,10
11,இருக்கும்,Adjectives,2.0,-11
12,தொடர்ந்து,Conjunctions,0.0,12
13,மத்தியில்,Conjunctions,0.0,13
14,முழுவதும்,Quantifiers,0.0,14
15,மாட்டாது,Verb,2.0,-15
16,என்பதால்,Particles,0.0,16
17,குறித்த்,Conjunctions,1.0,17
18,இருப்பத்,Verb,2.0,-18
19,சார்பில்,Conjunctions,0.0,19
20,உள்ளதால்,Verb,2.0,-20
21,தொடர்பான,Conjunctions,0.0,21
22,இருந்தது,Verb,2.0,-22
23,உள்ளாகவே,Conjunctions,2.0,-23
24,இருக்கிற,Adjectives,2.0,-24
25,குறித்து,Conjunctions,2.0,-25
26,Kஉறித்த்,Conjunctions,1.0,26
27,ஆகியதால்,Verb,2.0,-27
28,என்பதைய்,Particles,1.0,28
29,இருந்தத்,Verb,2.0,-29
30,இல்லாமல்,Conjunctions,0.0,30
31,உள்ளதைய்,Verb,2.0,-31
32,வேண்டும்,Verb,2.0,-32
33,முன்னால்,Conjunctions,0.0,33
34,தொடர்பாக,Conjunctions,0.0,34
35,எடுப்பத்,Particles,1.0,35
36,சேர்த்து,Conjunctions,0.0,36
37,இருந்து,Verb,2.0,-37
38,அல்லாது,Conjunctions,0.0,38
39,அந்தந்த,Determiners,0.0,39
40,உள்ளார்,Verb,2.0,-40
41,இடையில்,Conjunctions,1.0,41
42,மிகவும்,Quantifiers,0.0,42
43,அடுத்து,Verb,2.0,-43
44,உள்ளோம்,Verb,2.0,-44
45,மட்டுமே,Particles,0.0,45
46,குறித்த,Conjunctions,0.0,46
47,உள்ளனர்,Verb,2.0,-47
48,பின்னர்,Conjunctions,0.0,48
49,மற்றும்,Conjunctions,0.0,49
50,பட்டார்,Verb,2.0,-50
51,எல்லாம்,Conjunctions,2.0,-51
52,கொஞ்சம்,Quantifiers,0.0,52
53,சார்ந்த,Conjunctions,0.0,53
54,எதிரில்,Conjunctions,0.0,54
55,என்றால்,Particles,0.0,55
56,சேர்ந்த,Conjunctions,0.0,56
57,இருந்தன,Verb,2.0,-57
58,உள்ளேன்,Verb,2.0,-58
59,கூடும்,Verb,2.0,-59
60,இல்லாத,Conjunctions,0.0,60
61,பற்றிய,Conjunctions,0.0,61
62,அந்தப்,Determiners,0.0,62
63,அதிகம்,Quantifiers,0.0,63
64,முறையே,Conjunctions,0.0,64
65,என்பது,Particles,0.0,65
66,இந்தப்,Determiners,0.0,66
67,வழியாக,Conjunctions,0.0,67
68,அந்தக்,Determiners,0.0,68
69,எதிரான,Conjunctions,0.0,69
70,அல்லது,Conjunctions,0.0,70
71,அல்லாத,Conjunctions,0.0,71
72,அந்தச்,Determiners,0.0,72
73,என்கிற,Particles,0.0,73
74,இந்தத்,Determiners,0.0,74
75,முழுக்,Quantifiers,0.0,75
76,என்பதை,Particles,0.0,76
77,முன்பே,Conjunctions,0.0,77
78,அந்தத்,Determiners,0.0,78
79,மீதும்,Conjunctions,0.0,79
80,உள்ளது,Verb,2.0,-80
81,எந்தத்,Determiners,0.0,81
82,பட்டது,Verb,2.0,-82
83,உள்ளத்,Verb,2.0,-83
84,மூலமாக,Conjunctions,0.0,84
85,இருந்த,Adjectives,2.0,-85
86,உள்ளன,Verb,2.0,-86
87,இன்றி,Conjunctions,0.0,87
88,பட்ட்,Verb,2.0,-88
89,ஒட்டி,Conjunctions,2.0,-89
90,பட்டு,Verb,2.0,-90
91,முதல்,Conjunctions,0.0,91
92,கொண்ட,Conjunctions,0.0,92
93,உட்பட,Conjunctions,0.0,93
94,அருகே,Conjunctions,0.0,94
95,ஆனால்,Verb,2.0,-95
96,பிறகே,Particles,0.0,96
97,மூலம்,Conjunctions,0.0,97
98,பிறகு,Conjunctions,0.0,98
99,மிகச்,Quantifiers,0.0,99
100,இடையே,Conjunctions,0.0,100
101,இல்லை,Verb,2.0,-101
102,அன்று,Conjunctions,2.0,-102
103,என்று,Particles,0.0,103
104,மிகப்,Quantifiers,0.0,104
105,என்ற்,Particles,1.0,105
106,போன்ற,Conjunctions,0.0,106
107,உடன்,Conjunctions,2.0,-107
108,படக்,Verb,2.0,-108
109,ஆவது,Particles,2.0,-109
110,ஆகக்,Conjunctions,2.0,-110
111,ஆகப்,Conjunctions,2.0,-111
112,ஆகத்,Particles,2.0,-112
113,தவிர,Conjunctions,2.0,-113
114,என்ற,Particles,0.0,114
115,உள்ள,Adjectives,2.0,-115
116,அந்த,Determiners,0.0,116
117,அதிக,Quantifiers,0.0,117
118,கீழ்,Conjunctions,0.0,118
119,மீத்,Conjunctions,1.0,119
120,மீது,Conjunctions,0.0,120
121,எனவ்,Particles,1.0,121
122,அற்ற,Conjunctions,0.0,122
123,இடம்,Conjunctions,1.0,123
124,எனத்,Particles,0.0,124
125,போது,Particles,0.0,125
126,ப்பட,Verb,2.0,-126
127,ஆகவ்,Particles,2.0,-127
128,எனக்,Particles,0.0,128
129,எந்த,Determiners,0.0,129
130,தான்,Particles,0.0,130
131,இந்த,Determiners,0.0,131
132,உரிய,Adjectives,2.0,-132
133,பட்ட,Adjectives,2.0,-133
134,ஆகச்,Conjunctions,2.0,-134
135,இச்,Determiners,3.0,135-
136,உள்,Conjunctions,2.0,-136
137,அப்,Determiners,3.0,137-
138,உம்,Particles,2.0,-138
139,கூட,Particles,2.0,-139
140,இப்,Determiners,3.0,140-
141,ஒரு,Determiners,0.0,141
142,ஆறு,Particles,0.0,142
143,ஏய்,Particles,1.0,143
144,ஏயே,Particles,2.0,-144
145,இந்,Determiners,3.0,145-
146,ஆம்,Verb,2.0,-146
147,மிக,Quantifiers,0.0,147
148,விட,Particles,2.0,-148
149,ஓடு,Conjunctions,2.0,-149
150,படி,Conjunctions,2.0,-150
151,அந்,Determiners,0.0,151
152,வரை,Conjunctions,0.0,152
153,போல,Conjunctions,0.0,153
154,ஆக,Conjunctions,2.0,-154
155,ஆன,Particles,2.0,-155
156,என,Particles,0.0,156
157,பட,Verb,2.0,-157
158,ஓ,Particles,2.0,-158
159,ஆ,Particles,0.0,159
160,ஏ,Particles,2.0,-160
