,lemma,Type,id
0,சென்னை,Conjunctions,5000
1,ஸ்ரீ,Conjunctions,5001
2,பெரும்புதூர்,Conjunctions,5002
3,கிரீன்,Conjunctions,5003
4,பீல்டு,Conjunctions,5004
5,நவீனம்,Adjectives,5005
6,விமானம்,Conjunctions,5006
7,நிலையம்,Conjunctions,5007
8,நிலம்,Conjunctions,5008
9,யார்,Conjunctions,5009
10,பாதிப்பு,Conjunctions,5010
11,வகை,Conjunctions,5011
12,எடு,Verb,5012
13,படு,Verb,5013
14,முதல்வர்,Conjunctions,5014
15,கருணாநிதி,Conjunctions,5015
16,உறுதியளி,Verb,5016
17,உள்,Verb,5017
18,இது,Conjunctions,5018
19,தொடர்பு,Conjunctions,5019
20,அவர்,Conjunctions,5020
21,புதன்கிழமை,Conjunctions,5021
22,வெளியிடு,Adjectives,5022
23,அறிக்கை,Conjunctions,5023
24,நாடு,Conjunctions,5024
25,போக்குவரத்து,Conjunctions,5025
26,ஏற்படு,Verb,5026
27,வரு,Adjectives,5027
28,வளர்ச்சி,Conjunctions,5028
29,கருத்து,Conjunctions,5029
30,கொள்,Verb,5030
31,முக்கியம்,Adjectives,5031
32,நகரம்,Conjunctions,5032
33,விரிவுபடுத்து,Verb,5033
34,புதிது,Conjunctions,5034
35,சர்வதேசம்,Adjectives,5035
36,அமை,Verb,5036
37,மத்திய,Adjectives,5037
38,அரசு,Conjunctions,5038
39,முடிவு,Conjunctions,5039
40,செய்,Verb,5040
41,அதன்படி,Conjunctions,5041
42,புதுதில்லி,Conjunctions,5042
43,மும்பை,Conjunctions,5043
44,கொல்கத்தா,Conjunctions,5044
45,ஆகு,Adjectives,5045
46,மேம்படுத்து,Verb,5046
47,புதிய,Adjectives,5047
48,திட்டம்,Conjunctions,5048
49,உருவாகு,Verb,5049
50,நிறைவேற்று,Verb,5050
51,கர்நாடகம்,Conjunctions,5051
52,ஆந்திரம்,Conjunctions,5052
53,தமிழகம்,Conjunctions,5053
54,முந்து,Verb,5054
55,விடு,Verb,5055
56,ஆனால்,Conjunctions,5056
57,வரிசை,Conjunctions,5057
58,அதிமுக,Conjunctions,5058
59,பொது,Conjunctions,5059
60,செயலாளர்,Conjunctions,5060
61,ஜெயலலிதா,Conjunctions,5061
62,பா.ம.க.,Conjunctions,5062
63,நிறுவனர்,Conjunctions,5063
64,ராமதாஸ்,Conjunctions,5064
65,ஆகியோர்,Conjunctions,5065
66,போராட்டம்,Adjectives,5066
67,அறிவிப்பு,Conjunctions,5067
68,கொண்டுவா,Verb,5068
69,தொல்பொருள்,Conjunctions,5069
70,ஆய்வு,Conjunctions,5070
71,சட்டம்,Conjunctions,5071
72,மக்கள்,Conjunctions,5072
73,அடிப்படை,Conjunctions,5073
74,உரிமை,Conjunctions,5074
75,பறி,Adjectives,5075
76,அது,Conjunctions,5076
77,திரும்பு,Verb,5077
78,பெறு,Verb,5078
79,வேண்டு,Verb,5079
80,மதிமுக,Conjunctions,5080
81,பொதுச்செயலர்,Conjunctions,5081
82,வைகோ,Conjunctions,5082
83,கோரிக்கை,Conjunctions,5083
84,இதுகுறித்து,Conjunctions,5084
85,பண்பாடு,Conjunctions,5085
86,அடையாளம்,Conjunctions,5086
87,பாதுகா,Verb,5087
88,துறை,Conjunctions,5088
89,தனி,Adjectives,5089
90,இயற்று,Verb,5090
91,அமைப்பு,Conjunctions,5091
92,முன்பு,Conjunctions,5092
93,பகுதி,Conjunctions,5093
94,வாழ்,Conjunctions,5094
95,வா,Verb,5095
96,அப்படி,Conjunctions,5096
97,வாழ்விடம்,Conjunctions,5097
98,அகற்று,Verb,5098
99,உள்நாடு,Conjunctions,5099
100,அகதி,Conjunctions,5100
101,மாற்று,Adjectives,5101
102,மத்தி,Conjunctions,5102
103,ஆளு,Adjectives,5103
104,காங்கிரஸ்,Conjunctions,5104
105,தி.மு.க.,Conjunctions,5105
106,கூட்டணி,Conjunctions,5106
107,ஒரு,Adjectives,5107
108,தமிழ்,Conjunctions,5108
109,உள்ளிடு,Adjectives,5109
