,Morpheme,xpos,id,xpos Regex
0,க்கப்படுவத்,,-3154,VzNF3SNAA
1,்றுவிட்டத்,,-3173,VZND3SNAA
2,ரவிருப்பத்,,-3248,VzNF3SNAA
3,ட்டுக்கொள்,,-3170,Vr-P1SAAA
4,ியிருப்பத்,,-3171,VZNF3SNAA
5,்டுக்காகச்,,-3212,AA-------
6,யப்படுவத்,,-3151,VzNF3SNAA
7,க்கப்பட்ட,,-3193,Jd-D----A
8,கின்றனர்,,-3188,VR-P3PAAA
9,டுத்தாது,,-3172,Vr-T3PNAA
10,ப்பதற்க்,,-3236,VzNF3SNAA
11,ப்படுவது,,-3209,VzNF3SNAA
12,ன்றடையவ்,,-3238,Vu-T---AA
13,ியிருப்ப,,-3177,Vt-T---AA
14,ப்படும்,,-3178,Jd-F----A
15,லப்படவ்,,-3190,Vu-T---AA
16,யில்லாத,,-3222,Jd-T----N
17,யப்பட்ட,,-3156,Jd-D----A
18,யப்படவ்,,-3244,Vu-T---AA
19,ின்போது,,-3069,AA-------
20,ளப்பட்ட,,-3256,Jd-D----A
21,ந்தனர்,,-3149,Vr-D3PAAA
22,ினுடைய,,-3211,NNG-3SN--
23,ப்பதற்,,-3049,VzDF3SNAA
24,த்ததன்,,-3205,VzGD3SNAA
25,த்தில்,,-3068,AA-------
26,ப்பவர்,,-3199,NNN-3PA--
27,ற்றுப்,,-3093,Vt-T---AA
28,வதற்க்,,-3183,VzNF3SNAA
29,ப்பட்ட,,-3097,Jd-D----A
30,டையதாக,,-3102,AA-------
31,த்திற்,,-3175,NND-3SN--
32,க்கும்,,-3027,Jd-F----A
33,ற்றுக்,,-3112,Vt-T---AA
34,்றுள்ள,,-3120,Vr-D3SHAA
35,க்காது,,-3130,Vr-T3PNAA
36,டையவர்,,-3261,NNN-3SH--
37,த்ததற்,,-3145,VzDD3SNAA
38,ற்பதற்,,-3169,VzDF3SNAA
39,ாட்டின,,-3215,Vw-T---AA
40,ப்படவ்,,-3146,Vu-T---AA
41,ன்றுகு,,-3167,Vt-T---AA
42,ப்பின்,,-3047,VW-T---AA
43,க்காதத,,-3250,VzIT3SNAA
44,ியபோது,,-3232,AA-------
45,ண்டதற்,,-3252,VZDD3SNAA
46,யில்லை,,-3221,Vr-T3PNAA
47,ற்கப்ப,,-3237,Vt-T---AA
48,த்தாற்,,-3226,VzND3SNAA
49,க்கிற,,-2014,Jd-P----A
50,்டதற்,,-3115,VZDD3SNPA
51,்கிக்,,-3182,Vt-T---AA
52,ளதால்,,-3028,VzLT3SNAA
53,க்கவ்,,-3014,Vu-T---AA
54,க்கப்,,-3005,Vu-T---AA
55,்றுக்,,-3110,Vt-T---AA
56,த்தது,,-3174,VzND3SNAA
57,்டிற்,,-3251,NND-3SN--
58,யாகக்,,-3168,AA-------
59,்டுப்,,-3121,NO--3SN--
60,்டுக்,,-3163,Vt-T---AA
61,க்கக்,,-3122,Vu-T---AA
62,ற்கான,,-3123,JJ-------
63,ப்பது,,-3127,VZNF3SNAA
64,க்காத,,-3138,Jd-T----N
65,ற்காக,,-3153,AA-------
66,லப்பட,,-3152,Vu-T---AA
67,ண்டத்,,-3143,VzND3SNAA
68,த்தத்,,-3148,VzND3SNAA
69,ப்பத்,,-3105,VzNF3SNAA
70,யப்பட,,-3204,Vt-T----N
71,னுடைய,,-3208,RpG-1SA--
72,ில்லை,,-3214,Vr-T3PNAA
73,முடைய,,-3213,RpG-1PA--
74,க்கச்,,-3258,Vu-T---AA
75,ந்தத்,,-3089,VzND3SNAA
76,ங்கள்,,-3085,RpG-3PA--
77,மென்ற,,-3224,Jd-D----A
78,ட்கவ்,,-3219,Vu-T---AA
79,ற்கவ்,,-3067,Vu-T---AA
80,ற்கத்,,-3080,Vu-T---AA
81,ட்கப்,,-3062,Vu-T---AA
82,கின்ற,,-2035,Jd-P----A
83,த்த்,,-2021,NNL-3SN--
84,வதற்,,-3031,VzDF3SNAA
85,ளனர்,,-3126,VR-T3PAAA
86,ட்பு,,-3059,NNN-3SN--
87,ங்கள,,-3043,RhG-3PA--
88,ியவ்,,-3140,Jd-D----A
89,த்தத,,-3054,VzLD3SNAA
90,ன்ற்,,-3132,Vt-T---AA
91,ந்து,,-2040,AA-------
92,யைச்,,-3117,NNN-3SN--
93,ரும்,,-3259,Jd-F----A
94,வால்,,-3257,NNL-3SN--
95,ற்ற்,,-3114,Vt-T---AA
96,ாகக்,,-3025,AA-------
97,்டத்,,-3074,VzND3SNAA
98,ுள்ள,,-3075,Vr-D3SHAA
99,்டது,,-3077,VzND3SNAA
100,ப்பத,,-3253,VzIF3SNAA
101,ந்தத,,-3083,VzAD3SNAA
102,டிற்,,-3106,NND-3SN--
103,ாவது,,-3103,Uy-------
104,ாகத்,,-3254,AA-------
105,ியத்,,-3100,VzND3SNAA
106,த்து,,-2006,NND-3SN--
107,ானிய,,-3262,NO--3SN--
108,ளும்,,-3196,Jd-F----A
109,லாதத,,-3206,VzIT3SNAA
110,ற்கு,,-3225,AA-------
111,யில்,,-3187,NEN-3SN--
112,கும்,,-3180,Jd-F----A
113,ிலான,,-3230,JJ-------
114,்கிய,,-3176,Jd-D----A
115,ண்டு,,-3011,Vt-T---AA
116,ப்பட,,-3235,Vr-F3SNAA
117,்றத்,,-3239,VzND3SNAA
118,யைய்,,-3165,NNN-3SN--
119,ுடைய,,-3198,RiG-3SA--
120,்கப்,,-3017,Vu-T---AA
121,ற்று,,-3201,Vt-T---AA
122,லும்,,-3189,Jd-F----A
123,யும்,,-3218,RBA-3SA--
124,ியது,,-3241,VzND3SNAA
125,வும்,,-3207,RBN-3SN--
126,ன்று,,-3150,Vt-T---AA
127,ற்ற,,-3048,RpA-3PN--
128,னத்,,-3092,VzND3SNAA
129,்று,,-3091,Vt-T---AA
130,னது,,-3090,VzND3SNAA
