,Morpheme,id
0,க்கப்படுவத்,-3154
1,்றுவிட்டத்,-3173
2,ரவிருப்பத்,-3248
3,ட்டுக்கொள்,-3170
4,ியிருப்பத்,-3171
5,்டுக்காகச்,-3212
6,யப்படுவத்,-3151
7,க்கப்பட்ட,-3193
8,கின்றனர்,-3188
9,டுத்தாது,-3172
10,ப்பதற்க்,-3236
11,ப்படுவது,-3209
12,ன்றடையவ்,-3238
13,ியிருப்ப,-3177
14,ப்படும்,-3178
15,லப்படவ்,-3190
16,யில்லாத,-3222
17,யப்பட்ட,-3156
18,யப்படவ்,-3244
19,ின்போது,-3069
20,ளப்பட்ட,-3256
21,ந்தனர்,-3149
22,ினுடைய,-3211
23,ப்பதற்,-3049
24,த்ததன்,-3205
25,த்தில்,-3068
26,ப்பவர்,-3199
27,ற்றுப்,-3093
28,வதற்க்,-3183
29,ப்பட்ட,-3097
30,டையதாக,-3102
31,த்திற்,-3175
32,க்கும்,-3027
33,ற்றுக்,-3112
34,்றுள்ள,-3120
35,க்காது,-3130
36,டையவர்,-3261
37,த்ததற்,-3145
38,ற்பதற்,-3169
39,ாட்டின,-3215
40,ப்படவ்,-3146
41,ன்றுகு,-3167
42,ப்பின்,-3047
43,க்காதத,-3250
44,ியபோது,-3232
45,ண்டதற்,-3252
46,யில்லை,-3221
47,ற்கப்ப,-3237
48,த்தாற்,-3226
49,க்கிற,-2014
50,்டதற்,-3115
51,்கிக்,-3182
52,ளதால்,-3028
53,க்கவ்,-3014
54,க்கப்,-3005
55,்றுக்,-3110
56,த்தது,-3174
57,்டிற்,-3251
58,யாகக்,-3168
59,்டுப்,-3121
60,்டுக்,-3163
61,க்கக்,-3122
62,ற்கான,-3123
63,ப்பது,-3127
64,க்காத,-3138
65,ற்காக,-3153
66,லப்பட,-3152
67,ண்டத்,-3143
68,த்தத்,-3148
69,ப்பத்,-3105
70,யப்பட,-3204
71,னுடைய,-3208
72,ில்லை,-3214
73,முடைய,-3213
74,க்கச்,-3258
75,ந்தத்,-3089
76,ங்கள்,-3085
77,மென்ற,-3224
78,ட்கவ்,-3219
79,ற்கவ்,-3067
80,ற்கத்,-3080
81,ட்கப்,-3062
82,கின்ற,-2035
83,த்த்,-2021
84,வதற்,-3031
85,ளனர்,-3126
86,ட்பு,-3059
87,ங்கள,-3043
88,ியவ்,-3140
89,த்தத,-3054
90,ன்ற்,-3132
91,ந்து,-2040
92,யைச்,-3117
93,ரும்,-3259
94,வால்,-3257
95,ற்ற்,-3114
96,ாகக்,-3025
97,்டத்,-3074
98,ுள்ள,-3075
99,்டது,-3077
100,ப்பத,-3253
101,ந்தத,-3083
102,டிற்,-3106
103,ாவது,-3103
104,ாகத்,-3254
105,ியத்,-3100
106,த்து,-2006
107,ானிய,-3262
108,ளும்,-3196
109,லாதத,-3206
110,ற்கு,-3225
111,யில்,-3187
112,கும்,-3180
113,ிலான,-3230
114,்கிய,-3176
115,ண்டு,-3011
116,ப்பட,-3235
117,்றத்,-3239
118,யைய்,-3165
119,ுடைய,-3198
120,்கப்,-3017
121,ற்று,-3201
122,லும்,-3189
123,யும்,-3218
124,ியது,-3241
125,வும்,-3207
126,ன்று,-3150
127,ற்ற,-3048
128,னத்,-3092
129,்று,-3091
130,னது,-3090
131,லாத,-3191
132,யப்,-3087
133,டன்,-3260
134,ியத,-3051
135,யவ்,-3044
136,ுச்,-3086
137,வது,-3053
138,ும்,-2027
139,ாம்,-3203
140,யக்,-3202
141,்டு,-3010
142,ற்க,-3082
143,வத்,-3081
144,ிய்,-3055
145,ில்,-2008
146,ந்த,-2019
147,கிற,-2014
148,கைய,-3197
149,யாக,-3057
150,ளல்,-3210
151,ரப்,-3073
152,ரவ்,-3223
153,லவ்,-3243
154,கள்,-2012
155,த்த,-2021
156,யாத,-3160
157,்ற்,-3125
158,ார்,-2029
159,க்க,-2025
160,்பட,-3129
161,தல்,-3157
162,ரங்,-3131
163,மல்,-3046
164,ன்ற,-3136
165,லப்,-3137
166,ால்,-2005
167,ிக்,-3020
168,ின்,-2007
169,தது,-3242
170,லத்,-3144
171,ஆம்,-3245
172,ளத்,-3124
173,ட்ட,-2022
174,ிற்,-3227
175,யான,-3099
176,ண்ட,-3118
177,தத்,-3240
178,்றத,-3113
179,ிச்,-3185
180,ளப்,-3234
181,ட்க,-3161
182,வாக,-3233
183,கள,-2012
184,த்,-2021
185,ின,-2007
186,ங்,-3012
187,வ்,-3013
188,ண்,-3021
189,ந்,-3032
190,ய்,-3042
191,ம்,-3006
192,ாக,-3007
193,லை,-3040
194,தி,-3038
195,்ட,-2022
196,ச்,-3023
197,ப்,-3009
198,ிய,-2020
199,ளன,-3030
200,றி,-3135
201,ல்,-3119
202,னத,-3088
203,டை,-3159
204,தல,-3158
205,டு,-2039
206,ாத,-3128
207,வு,-3052
208,ன்,-3200
209,ர்,-2034
210,ான,-3108
211,யே,-3101
212,வத,-3094
213,்ப,-3095
214,யா,-3220
215,ளு,-3231
216,வே,-3246
217,்ற,-3066
218,்க,-3064
219,ற்,-3063
220,ட்,-2022
221,க்,-2025
222,ல,-3186
223,ய,-3004
224,ு,-3003
225,ம,-3217
226,ா,-2028
227,க,-2025
228,ர,-3192
229,வ,-2031
230,ச,-3184
231,ெ,-3179
232,த,-2021
233,ே,-3139
234,்,-3024
235,ண,-3111
236,ற,-3078
237,ட,-3076
238,ி,-2037
239,ன,-2017
240,ள,-3037
