,letter,id
0,ச,-4000
1,ெ,-4001
2,ன,-2017
3,்,-4003
4,ை,-2000
5,ஸ,-4005
6,ர,-4006
7,ீ,-4007
8,ப,-2033
9,ு,-4009
10,ம,-4010
11,த,-2021
12,ூ,-4012
13,க,-2025
14,ி,-2037
15,ல,-4015
16,ட,-4016
17,ய,-4017
18,ா,-2028
19,ண,-4019
20,ந,-4020
21,ொ,-4021
22,அ,-4022
23,ஜ,-4023
24,வ,-2031
25,ோ,-4025
26,ள,-4026
27,ங,-4027
28,ழ,-4028
29,ற,-4029
30,இ,-4030
31,ே,-4031
32,ஷ,-4032
33,ஆ,-4033
34,எ,-4034
35,ஐ,-4035
36,ஹ,-4036
37,ஃ,-4037
38,ஒ,-4038
39,ஈ,-4039
40,ஏ,-4040
41,ஞ,-4041
42,உ,-4042
43,ஓ,-4043
44,û,-4044
45,H,-4045
46,C,-4046
47,ô,-4047
