,MorphemeSeparated,Morpheme,id,Part of Speech,Sub Part of Speech,Case,Tense,Person,Number,Gender,Negation
0,"{க,்,க,ி,ன,்,ற}",க்கின்ற,-2035,Verb,,,Present,3rd Person,Plural,Honorific,
1,"{க,்,க,ி,ன,்,ற}",க்கின்ற,-2035,Verb,,,Present,3rd Person,Plural,,
2,"{ீ,ர,்,க,ள,்}",ீர்கள்,-2018,Verb,,,,2nd Person,Singular,,
3,"{ா,ர,்,க,ள,்}",ார்கள்,-2036,Verb,,,Present,3rd Person,Plural,Honorific,
4,"{ா,ர,்,க,ள,்}",ார்கள்,-2036,Verb,,,Future,3rd Person,Plural,Honorific,
5,"{ா,ர,்,க,ள,்}",ார்கள்,-2036,Verb,,,Tenseless,3rd Person,Plural,Honorific,
6,"{ீ,ர,்,க,ள,்}",ீர்கள்,-2018,Verb,,,,2nd Person,Plural,,
7,"{க,ி,ன,்,ற}",கின்ற,-2035,Verb,,,Present,3rd Person,Plural,Honorific,
8,"{க,ி,ற}",க்கிற,-2014,Verb,,,Present,3rd Person,Singular,,
9,"{க,்,க,ி,ற}",க்கிற,-2014,Verb,,,,1st Person,Plural,,
10,"{க,்,க,ி,ற}",க்கிற,-2014,Verb,,,Present,3rd Person,Plural,Honorific,
11,"{க,்,க,ி,ற}",க்கிற,-2014,Verb,,,,3rd Person,Singular,Honorific,
12,"{க,ி,ன,்,ற}",கின்ற,-2035,Verb,,,Present,3rd Person,Plural,,
13,"{க,்,க,ி,ற}",க்கிற,-2014,Verb,,,,2nd Person,Plural,,
14,"{க,்,க,ி,ற}",க்கிற,-2014,Verb,,,,1st Person,Singular,,
15,"{ந,்,த,ு}",ந்து,-2040,Verb,Lexical verbal particle,,,,,,
16,"{ந,்,த,்}",ந்த்,-2019,Verb,Lexical verbal particle,,,,,,
17,"{ட,்,ட,்}",ட்ட்,-2022,Verb,Lexical verbal particle,,,,,,
18,"{ட,்,ட,ு}",ட்டு,-2044,Verb,Auxiliary verbal particle,,,,,,
19,"{ி,ட,ம,்}",ிடம்,-2009,Verb,,Locative,,,,,
20,"{ந,்,த,்}",ந்த்,-2019,Verb,Auxiliary verbal particle,,,,,,
21,"{த,்,த,்}",த்த்,-2021,Verb,Auxiliary verbal particle,,,,,,
22,"{ட,்,ட,்}",ட்ட்,-2022,Verb,Auxiliary verbal particle,,,,,,
23,"{த,்,த,்}",த்த்,-2021,Verb,Lexical verbal particle,,,,,,
24,"{ட,்,ட,ு}",ட்டு,-2044,Verb,Lexical verbal particle,,,,,,
25,"{த,்,த,ு}",த்து,-2006,Verb,Lexical verbal particle,,,,,,
26,"{க,்,க,்}",க்க்,-2001,Verb,,Dative,,,,,
27,"{க,்,க,ு}",க்கு,-2001,Verb,,Dative,,,,,
28,"{ு,ட,ன,்}",ுடன்,-2011,Verb,,Sociative,,,,,
29,"{த,்,த,ு}",த்து,-2006,Verb,Auxiliary verbal particle,,,,,,
30,"{ந,்,த,ு}",ந்து,-2040,Verb,Auxiliary verbal particle,,,,,,
31,"{ப,்,ப}",ப்ப,-2033,Verb,,,,1st Person,Plural,,
32,"{ந,்,த}",ந்த,-2019,Verb,,,,1st Person,Plural,,
33,"{ி,ல,்}",ில்,-2008,Verb,,Locative,,,,,
34,"{க,ி,ற}",கிற,-2014,Verb,,,,2nd Person,Plural,,
35,"{ன,ர,்}",னர்,-2054,Verb,,,Present,3rd Person,Plural,Honorific,
36,"{க,ி,ற}",கிற,-2014,Verb,,,,1st Person,Plural,,
37,"{க,்,க}",க்க,-2025,Verb,,,Future,3rd Person,Singular,,
38,"{ந,்,த}",ந்த,-2019,Verb,,,Past,3rd Person,Singular,,
39,"{த,்,த}",த்த,-2021,Verb,,,Past,3rd Person,Singular,,
40,"{க,ி,ற}",கிற,-2014,Verb,,,,1st Person,Singular,,
41,"{ே,ன,்}",ேன்,-2013,Verb,,,,1st Person,Singular,,
42,"{ட,்,ட}",ட்ட,-2022,Verb,,,Past,3rd Person,Singular,,
43,"{க,ி,ற}",கிற,-2014,Verb,,,Present,3rd Person,Singular,,
44,"{க,ள,்}",கள்,-2012,Noun,,,,,Plural,,
45,"{ோ,ம,்}",ோம்,-2032,Verb,,,,1st Person,Plural,,
46,"{ு,ம,்}",ும்,-2027,Verb,,,Future,3rd Person,Singular,,
47,"{ா,ர,்}",ார்,-2029,Verb,,,,3rd Person,Singular,Honorific,
48,"{ந,்,த}",ந்த,-2019,Verb,,,,3rd Person,Singular,Honorific,
49,"{ோ,ட,ு}",ோடு,-2010,Verb,,Sociative,,,,,
50,"{ட,்,ட}",ட்ட,-2022,Verb,,,,3rd Person,Singular,Honorific,
51,"{த,்,த}",த்த,-2021,Verb,,,,3rd Person,Singular,Honorific,
52,"{க,ி,ற}",கிற,-2014,Verb,,,,3rd Person,Singular,Honorific,
53,"{ி,ன,்}",ின்,-2007,Verb,,Genitive,,,,,
54,"{க,ி,ற}",கிற,-2014,Verb,,,Present,3rd Person,Plural,Honorific,
55,"{ா,ல,்}",ால்,-2005,Verb,,Instrumental,,,,,
56,"{ி,ல,்}",ில்,-2008,Verb,,Locative,,,,,
57,"{ா,ல,்}",ால்,-2005,Verb,Auxiliary Conditional,,,,,,
58,"{ண,ட,்}",ணட்,-2046,Verb,Auxiliary verbal particle,,,,,,
59,"{ண,ட,ு}",ணடு,-2045,Verb,Auxiliary verbal particle,,,,,,
60,"{ண,ட,ு}",ணடு,-2045,Verb,Lexical verbal particle,,,,,,
61,"{க,ள,ு}",களு,-2012,Verb,,Dative,,,,,
62,"{ா,ல,்}",ால்,-2005,Verb,,Instrumental,,,,,
63,"{ந,்,த}",ந்த,-2019,Verb,,,Past,3rd Person,Plural,,
64,"{ண,ட,்}",ணட்,-2046,Verb,Lexical verbal particle,,,,,,
65,"{த,்,த}",த்த,-2021,Verb,,,Past,3rd Person,Plural,,
66,"{ா,ல,்}",ால்,-2005,Verb,Lexical conditional,,,,,,
67,"{ி,ய}",ிய,-2020,Verb,,,Past,3rd Person,Singular,,
68,"{்,ட}",்ட,-2022,Verb,,,Past,3rd Person,Singular,,
69,"{த,ு}",து,-2006,Verb,,,Tenseless,3rd Person,Singular,,
70,"{ட,்}",ட்,-2022,Verb,Lexical verbal particle,,,,,,
71,"{த,ு}",து,-2006,Verb,,,Past,3rd Person,Singular,,
72,"{ண,ட}",ணட,-2015,Verb,,,Past,3rd Person,Singular,,
