,Morpheme,xpos,id,xpos Regex
0,க்கப்படுவத்,,-3144,VzNF3SNAA
1,ியிருப்பத்,,-3163,VZNF3SNAA
2,ட்டுக்கொள்,,-3162,Vr-P1SAAA
3,்றுவிட்டத்,,-3165,VZND3SNAA
4,ரவிருப்பத்,,-3238,VzNF3SNAA
5,்டுக்காகச்,,-3202,AA-------
6,யப்படுவத்,,-3141,VzNF3SNAA
7,க்கப்பட்ட,,-3185,Jd-D----A
8,ன்றடையவ்,,-3228,Vu-T---AA
9,டுத்தாது,,-3164,Vr-T3PNAA
10,கின்றனர்,,-3179,VR-P3PAAA
11,ியிருப்ப,,-3169,Vt-T---AA
12,ப்பதற்க்,,-3225,VzNF3SNAA
13,ப்படுவது,,-3199,VzNF3SNAA
14,லப்படவ்,,-3181,Vu-T---AA
15,ளப்பட்ட,,-3246,Jd-D----A
16,ப்படும்,,-3170,Jd-F----A
17,யப்படவ்,,-3234,Vu-T---AA
18,ின்போது,,-3062,AA-------
19,யப்பட்ட,,-3146,Jd-D----A
20,யில்லாத,,-3209,Jd-T----N
21,த்தில்,,-3061,AA-------
22,டையதாக,,-3092,AA-------
23,ாட்டின,,-3204,Vw-T---AA
24,யில்லை,,-3208,Vr-T3PNAA
25,வதற்க்,,-3175,VzNF3SNAA
26,ந்தனர்,,-3138,Vr-D3PAAA
27,ினுடைய,,-3201,NNG-3SN--
28,த்ததன்,,-3197,VzGD3SNAA
29,ற்றுப்,,-3084,Vt-T---AA
30,ப்படவ்,,-3134,Vu-T---AA
31,ப்பவர்,,-3189,NNN-3PA--
32,த்தாற்,,-3214,VzND3SNAA
33,க்காது,,-3120,Vr-T3PNAA
34,ண்டதற்,,-3242,VZDD3SNAA
35,்றுள்ள,,-3110,Vr-D3SHAA
36,டையவர்,,-3251,NNN-3SH--
37,ப்பின்,,-3045,VW-T---AA
38,ன்றுகு,,-3159,Vt-T---AA
39,ப்பதற்,,-3046,VzDF3SNAA
40,ற்றுக்,,-3102,Vt-T---AA
41,ற்பதற்,,-3161,VzDF3SNAA
42,க்காதத,,-3240,VzIT3SNAA
43,ப்பட்ட,,-3087,Jd-D----A
44,க்கும்,,-3026,Jd-F----A
45,த்திற்,,-3167,NND-3SN--
46,ற்கப்ப,,-3227,Vt-T---AA
47,த்ததற்,,-3133,VzDD3SNAA
48,ியபோது,,-3220,AA-------
49,த்தது,,-3166,VzND3SNAA
50,ற்காக,,-3143,AA-------
51,த்தத்,,-3137,VzND3SNAA
52,ந்தத்,,-3080,VzND3SNAA
53,யாகக்,,-3160,AA-------
54,கின்ற,,-2035,Jd-P----A
55,லப்பட,,-3142,Vu-T---AA
56,க்கவ்,,-3013,Vu-T---AA
57,்கிக்,,-3174,Vt-T---AA
58,ற்கத்,,-3072,Vu-T---AA
59,ண்டத்,,-3131,VzND3SNAA
60,ற்கவ்,,-3060,Vu-T---AA
61,்டதற்,,-3105,VZDD3SNPA
62,க்கச்,,-3248,Vu-T---AA
63,்டிற்,,-3241,NND-3SN--
64,்டுப்,,-3111,NO--3SN--
65,க்கக்,,-3112,Vu-T---AA
66,ற்கான,,-3113,JJ-------
67,்றுக்,,-3100,Vt-T---AA
68,ப்பது,,-3117,VZNF3SNAA
69,க்கப்,,-3004,Vu-T---AA
70,ப்பத்,,-3095,VzNF3SNAA
71,ட்கப்,,-3057,Vu-T---AA
72,மென்ற,,-3212,Jd-D----A
73,க்கிற,,-2014,Jd-P----A
74,யப்பட,,-3196,Vt-T----N
75,க்காத,,-3127,Jd-T----N
76,ில்லை,,-3203,Vr-T3PNAA
77,்டுக்,,-3153,Vt-T---AA
78,ங்கள்,,-3155,Vj-T2PAAA
79,ட்கவ்,,-3206,Vu-T---AA
80,ளதால்,,-3027,VzLT3SNAA
81,ன்று,,-3140,Vt-T---AA
82,ளனர்,,-3116,VR-T3PAAA
83,ாவது,,-3093,Uy-------
84,டிற்,,-3096,NND-3SN--
85,ானிய,,-3252,NO--3SN--
86,ாகக்,,-3024,AA-------
87,யைச்,,-3107,NNN-3SN--
88,ியத்,,-3090,VzND3SNAA
89,ன்ற்,,-3122,Vt-T---AA
90,வதற்,,-3030,VzDF3SNAA
91,்கப்,,-3016,Vu-T---AA
92,ியவ்,,-3129,Jd-D----A
93,ற்ற்,,-3104,Vt-T---AA
94,்றத்,,-3229,VzND3SNAA
95,ப்பட,,-3224,Vr-F3SNAA
96,ட்பு,,-3054,NNN-3SN--
97,யும்,,-3222,Jd-F----A
98,த்த்,,-2021,NNL-3SN--
99,ிலான,,-3218,JJ-------
100,ற்கு,,-3213,AA-------
101,ுடைய,,-3211,NNG-3SH--
102,ந்து,,-2609,AA-------
103,லாதத,,-3198,VzIT3SNAA
104,ியது,,-3231,VzND3SNAA
105,்டத்,,-3066,VzND3SNAA
106,ற்று,,-3191,Vt-T---AA
107,யில்,,-3190,AA-------
108,ுள்ள,,-3067,Vr-D3SHAA
109,ளும்,,-3187,Jd-F----A
110,த்தத,,-3049,VzLD3SNAA
111,கும்,,-3172,Jd-F----A
112,ந்தத,,-3075,VzAD3SNAA
113,யைய்,,-3157,NNN-3SN--
114,்கிய,,-3168,Jd-D----A
115,ரும்,,-3249,Jd-F----A
116,வால்,,-3247,NNL-3SN--
117,ாகத்,,-3244,AA-------
118,ண்டு,,-3010,Vt-T---AA
119,்டது,,-3069,VzND3SNAA
120,ப்பத,,-3243,VzIF3SNAA
121,லும்,,-3180,Jd-F----A
122,த்து,,-2006,NND-3SN--
123,ியத,,-3047,VzAD3SNAA
124,ிய்,,-3050,Vt-T---AA
125,வது,,-3048,Uy-------
126,யாக,,-3052,AA-------
127,ுச்,,-3076,Vt-T---AA
128,ற்ற,,-3098,Vr-D3PHAA
129,யப்,,-3077,Vu-T---AA
130,யான,,-3089,Jd-D----A
131,னத்,,-3083,VzND3SNAA
132,ந்த,,-2019,VR-D3PHAA
133,ில்,,-2008,AA-------
134,்றத,,-3103,VzAD3SNAA
135,வத்,,-3073,VzNF3SNAA
136,்று,,-3082,Vt-T---AA
137,ற்க,,-3074,Vu-T---AA
138,னது,,-3081,VzND3SNAA
139,ரப்,,-3065,Vu-T---AA
140,மல்,,-3044,Vt-T----N
141,ண்ட,,-3108,Jd-D----A
142,ிற்,,-3215,NND-3SN--
143,்டு,,-3009,Vt-T---AA
144,லாத,,-3182,Jd-T----N
145,ும்,,-2027,Jd-F----A
146,கைய,,-3188,NNL-3SN--
147,யக்,,-3193,Vu-T---AA
148,ாம்,,-3194,Uy-------
149,ளல்,,-3200,VZNT3SNAA
150,ரவ்,,-3210,Vu-T---AA
151,வாக,,-3221,AA-------
152,ட்க,,-3151,Vu-T---AA
153,ளப்,,-3223,Vu-T---AA
154,தத்,,-3230,VzND3SNAA
155,தது,,-3232,VzND3SNAA
156,லவ்,,-3233,Vu-T---AA
157,ஆம்,,-3235,Uy-------
158,ட்ட,,-2022,Vr-D3PHAA
159,ார்,,-2029,VzNP3SNAA
160,டன்,,-3250,NNS-3SN--
161,கள்,,-2012,NNN-3SN--
162,ிச்,,-3177,Vt-T---AA
163,லத்,,-3132,Vu-T---AA
164,ிக்,,-3019,Vt-T---AA
165,லப்,,-3126,Vu-T---AA
166,த்த,,-2021,NNL-3SN--
167,ன்ற,,-3125,Jd-D----A
168,ரங்,,-3121,NND-3PN--
169,ின்,,-2007,NNN-3PA--
170,கிற,,-2014,Jd-P----A
171,்பட,,-3119,VR-F3SNPA
172,க்க,,-2025,Vu-T---AA
173,ால்,,-2005,NNL-3PN--
174,தல்,,-3147,NNN-3SN--
175,யவ்,,-3042,Vu-T---AA
176,்ற்,,-3115,Vt-T---AA
177,ளத்,,-3114,VZNT3SNAA
178,யாத,,-3150,Jd-T----N
179,ண்,,-3020,VT-T---AA
180,ய்,,-3041,NNN-3SN--
