,Morpheme,id
0,க்கப்படுவத்,-3144
1,ியிருப்பத்,-3163
2,ட்டுக்கொள்,-3162
3,்றுவிட்டத்,-3165
4,ரவிருப்பத்,-3238
5,்டுக்காகச்,-3202
6,யப்படுவத்,-3141
7,க்கப்பட்ட,-3185
8,ன்றடையவ்,-3228
9,டுத்தாது,-3164
10,கின்றனர்,-3179
11,ியிருப்ப,-3169
12,ப்பதற்க்,-3225
13,ப்படுவது,-3199
14,லப்படவ்,-3181
15,ளப்பட்ட,-3246
16,ப்படும்,-3170
17,யப்படவ்,-3234
18,ின்போது,-3062
19,யப்பட்ட,-3146
20,யில்லாத,-3209
21,த்தில்,-3061
22,டையதாக,-3092
23,ாட்டின,-3204
24,யில்லை,-3208
25,வதற்க்,-3175
26,ந்தனர்,-3138
27,ினுடைய,-3201
28,த்ததன்,-3197
29,ற்றுப்,-3084
30,ப்படவ்,-3134
31,ப்பவர்,-3189
32,த்தாற்,-3214
33,க்காது,-3120
34,ண்டதற்,-3242
35,்றுள்ள,-3110
36,டையவர்,-3251
37,ப்பின்,-3045
38,ன்றுகு,-3159
39,ப்பதற்,-3046
40,ற்றுக்,-3102
41,ற்பதற்,-3161
42,க்காதத,-3240
43,ப்பட்ட,-3087
44,க்கும்,-3026
45,த்திற்,-3167
46,ற்கப்ப,-3227
47,த்ததற்,-3133
48,ியபோது,-3220
49,த்தது,-3166
50,ற்காக,-3143
51,த்தத்,-3137
52,ந்தத்,-3080
53,யாகக்,-3160
54,கின்ற,-2035
55,லப்பட,-3142
56,க்கவ்,-3013
57,்கிக்,-3174
58,ற்கத்,-3072
59,ண்டத்,-3131
60,ற்கவ்,-3060
61,்டதற்,-3105
62,க்கச்,-3248
63,்டிற்,-3241
64,்டுப்,-3111
65,க்கக்,-3112
66,ற்கான,-3113
67,்றுக்,-3100
68,ப்பது,-3117
69,க்கப்,-3004
70,ப்பத்,-3095
71,ட்கப்,-3057
72,மென்ற,-3212
73,க்கிற,-2014
74,யப்பட,-3196
75,க்காத,-3127
76,ில்லை,-3203
77,்டுக்,-3153
78,ங்கள்,-3155
79,ட்கவ்,-3206
80,ளதால்,-3027
81,ன்று,-3140
82,ளனர்,-3116
83,ாவது,-3093
84,டிற்,-3096
85,ானிய,-3252
86,ாகக்,-3024
87,யைச்,-3107
88,ியத்,-3090
89,ன்ற்,-3122
90,வதற்,-3030
91,்கப்,-3016
92,ியவ்,-3129
93,ற்ற்,-3104
94,்றத்,-3229
95,ப்பட,-3224
96,ட்பு,-3054
97,யும்,-3222
98,த்த்,-2021
99,ிலான,-3218
100,ற்கு,-3213
101,ுடைய,-3211
102,ந்து,-2609
103,லாதத,-3198
104,ியது,-3231
105,்டத்,-3066
106,ற்று,-3191
107,யில்,-3190
108,ுள்ள,-3067
109,ளும்,-3187
110,த்தத,-3049
111,கும்,-3172
112,ந்தத,-3075
113,யைய்,-3157
114,்கிய,-3168
115,ரும்,-3249
116,வால்,-3247
117,ாகத்,-3244
118,ண்டு,-3010
119,்டது,-3069
120,ப்பத,-3243
121,லும்,-3180
122,த்து,-2006
123,ியத,-3047
124,ிய்,-3050
125,வது,-3048
126,யாக,-3052
127,ுச்,-3076
128,ற்ற,-3098
129,யப்,-3077
130,யான,-3089
131,னத்,-3083
132,ந்த,-2019
133,ில்,-2008
134,்றத,-3103
135,வத்,-3073
136,்று,-3082
137,ற்க,-3074
138,னது,-3081
139,ரப்,-3065
140,மல்,-3044
141,ண்ட,-3108
142,ிற்,-3215
143,்டு,-3009
144,லாத,-3182
145,ும்,-2027
146,கைய,-3188
147,யக்,-3193
148,ாம்,-3194
149,ளல்,-3200
150,ரவ்,-3210
151,வாக,-3221
152,ட்க,-3151
153,ளப்,-3223
154,தத்,-3230
155,தது,-3232
156,லவ்,-3233
157,ஆம்,-3235
158,ட்ட,-2022
159,ார்,-2029
160,டன்,-3250
161,கள்,-2012
162,ிச்,-3177
163,லத்,-3132
164,ிக்,-3019
165,லப்,-3126
166,த்த,-2021
167,ன்ற,-3125
168,ரங்,-3121
169,ின்,-2007
170,கிற,-2014
171,்பட,-3119
172,க்க,-2025
173,ால்,-2005
174,தல்,-3147
175,யவ்,-3042
176,்ற்,-3115
177,ளத்,-3114
178,யாத,-3150
179,ண்,-3020
180,ய்,-3041
181,லை,-3038
182,ந்,-3031
183,ம்,-3005
184,தி,-3036
185,வ்,-3012
186,ாக,-3006
187,த்,-2021
188,ளன,-3029
189,்ட,-2022
190,ப்,-3008
191,ச்,-3022
192,ங்,-3011
193,ிய,-2020
194,கள,-2012
195,ின,-2007
196,யே,-3091
197,வே,-3236
198,ற்,-3226
199,ளு,-3219
200,யா,-3207
201,டை,-3149
202,தல,-3148
203,வு,-3139
204,டு,-2039
205,றி,-3124
206,க்,-2025
207,ல்,-3109
208,ான,-3099
209,ாத,-3118
210,்ப,-3086
211,வத,-3085
212,னத,-3079
213,ட்,-2022
214,்க,-3058
215,்ற,-3059
216,ச,-3176
217,ு,-3039
218,ய,-3003
219,ா,-2028
220,ர,-3184
221,ல,-3178
222,த,-2021
223,ெ,-3171
224,ண,-3101
225,ள,-3035
226,ட,-3068
227,ி,-2037
228,ற,-3070
229,ே,-3128
230,வ,-2031
231,்,-3023
