index,lemma,Type,id
0,நவீனம்,Adjectives,'00000
1,விமானம்,Conjunctions,'00001
2,நிலையம்,Conjunctions,'00002
3,நிலம்,Conjunctions,'00003
4,பாதிப்பு,Conjunctions,'00004
5,வகை,Conjunctions,'00005
6,எடு,Verb,'00006
7,படு,Verb,'00007
8,முதல்வர்,Conjunctions,'00008
9,உறுதியளி,Verb,'00009
10,உள்,Verb,'00010
11,தொடர்பு,Conjunctions,'00011
12,புதன்கிழமை,Conjunctions,'00012
13,வெளியிடு,Adjectives,'00013
14,அறிக்கை,Conjunctions,'00014
15,நாடு,Conjunctions,'00015
16,போக்குவரத்து,Conjunctions,'00016
17,ஏற்படு,Verb,'00017
18,வரு,Adjectives,'00018
19,வளர்ச்சி,Conjunctions,'00019
20,கருத்து,Conjunctions,'00020
21,கொள்,Verb,'00021
22,முக்கியம்,Adjectives,'00022
23,நகரம்,Conjunctions,'00023
24,விரிவுபடுத்து,Verb,'00024
25,புதிது,Conjunctions,'00025
26,சர்வதேசம்,Adjectives,'00026
27,அமை,Verb,'00027
28,மத்திய,Adjectives,'00028
29,அரசு,Conjunctions,'00029
30,முடிவு,Conjunctions,'00030
31,செய்,Verb,'00031
32,அதன்படி,Conjunctions,'00032
33,ஆகு,Adjectives,'00033
34,மேம்படுத்து,Verb,'00034
35,புதிய,Adjectives,'00035
36,திட்டம்,Conjunctions,'00036
37,உருவாகு,Verb,'00037
38,நிறைவேற்று,Verb,'00038
39,ஆந்திரம்,Conjunctions,'00039
40,முந்து,Verb,'00040
41,விடு,Verb,'00041
42,ஆனால்,Conjunctions,'00042
43,வரிசை,Conjunctions,'00043
44,பொது,Conjunctions,'00044
45,செயலாளர்,Conjunctions,'00045
46,நிறுவனர்,Conjunctions,'00046
47,ஆகியோர்,Conjunctions,'00047
48,போராட்டம்,Adjectives,'00048
49,அறிவிப்பு,Conjunctions,'00049
50,கொண்டுவா,Verb,'00050
51,தொல்பொருள்,Conjunctions,'00051
52,ஆய்வு,Conjunctions,'00052
53,சட்டம்,Conjunctions,'00053
54,மக்கள்,Conjunctions,'00054
55,அடிப்படை,Conjunctions,'00055
56,உரிமை,Conjunctions,'00056
57,பறி,Adjectives,'00057
58,திரும்பு,Verb,'00058
59,பெறு,Verb,'00059
60,வேண்டு,Verb,'00060
61,பொதுச்செயலர்,Conjunctions,'00061
62,கோரிக்கை,Conjunctions,'00062
63,இதுகுறித்து,Conjunctions,'00063
64,பண்பாடு,Conjunctions,'00064
65,அடையாளம்,Conjunctions,'00065
66,பாதுகா,Verb,'00066
67,துறை,Conjunctions,'00067
68,தனி,Adjectives,'00068
69,இயற்று,Verb,'00069
70,அமைப்பு,Conjunctions,'00070
71,முன்பு,Conjunctions,'00071
72,பகுதி,Conjunctions,'00072
73,வாழ்,Conjunctions,'00073
74,வா,Verb,'00074
75,அப்படி,Conjunctions,'00075
76,வாழ்விடம்,Conjunctions,'00076
77,அகற்று,Verb,'00077
78,உள்நாடு,Conjunctions,'00078
79,அகதி,Conjunctions,'00079
80,மாற்று,Adjectives,'00080
81,மத்தி,Conjunctions,'00081
82,ஆளு,Adjectives,'00082
83,கூட்டணி,Conjunctions,'00083
84,ஒரு,Adjectives,'00084
85,உள்ளிடு,Adjectives,'00085
86,மாநிலம்,Conjunctions,'00086
87,மொழி,Conjunctions,'00087
88,ஆங்கிலம்,Conjunctions,'00088
89,அனைத்து,Adjectives,'00089
90,நாளிதழ்,Conjunctions,'00090
91,முழுப்பக்கம்,Adjectives,'00091
92,அளவு,Conjunctions,'00092
93,விளம்பரப்படு,Verb,'00093
94,நினைவு,Conjunctions,'00094
95,சின்னம்,Conjunctions,'00095
96,அடி,Conjunctions,'00096
97,கட்டுமானம்,Conjunctions,'00097
98,கட்டு,Verb,'00098
99,அனுமதி,Conjunctions,'00099
100,இல்,Verb,'00100
101,மீறுவோர்,Conjunctions,'00101
102,அபராதம்,Conjunctions,'00102
103,தொகை,Conjunctions,'00103
104,ஆண்டு,Conjunctions,'00104
105,சிறை,Conjunctions,'00105
106,தண்டனை,Conjunctions,'00106
107,குடும்பத்தினர்,Conjunctions,'00107
108,எண்ணிக்கை,Conjunctions,'00108
109,பெருகு,Verb,'00109
110,இடம்,Conjunctions,'00110
111,நெருக்கடி,Conjunctions,'00111
112,நிலை,Conjunctions,'00112
113,மூதாதையர்,Conjunctions,'00113
114,வீடு,Conjunctions,'00114
115,விரிவாக்கம்,Conjunctions,'00115
116,கூடுதல்,Adjectives,'00116
117,அறை,Conjunctions,'00117
118,தாழ்வாரம்,Conjunctions,'00118
119,கழிப்பு,Conjunctions,'00119
120,உரிமையாளர்,Conjunctions,'00120
121,சம்பந்தப்பட்ட,Adjectives,'00121
122,அதிகாரி,Conjunctions,'00122
123,தண்டி,Verb,'00123
124,ஏற்கனவே,Conjunctions,'00124
125,ஆய்வுத்துறை,Conjunctions,'00125
126,இரு,Verb,'00126
127,இடி,Verb,'00127
128,அதிகாரம்,Conjunctions,'00128
129,வழங்கு,Verb,'00129
130,மின்,Conjunctions,'00130
131,இணைப்பு,Conjunctions,'00131
132,இனி,Conjunctions,'00132
133,மாட்டு,Verb,'00133
134,சுதந்திரம்,Conjunctions,'00134
135,மீன்பிடி,Conjunctions,'00135
136,ஒழுங்குமுறை,Conjunctions,'00136
137,எதிர்,Verb,'00137
138,மீனவ,Conjunctions,'00138
139,கிளர்,Verb,'00139
140,எழு,Verb,'00140
141,போராடு,Verb,'00141
142,உலகம்,Conjunctions,'00142
143,சிறந்த,Adjectives,'00143
144,பட்டியல்,Conjunctions,'00144
145,கிடை,Verb,'00145
146,அமெரிக்கா,Conjunctions,'00146
147,பத்திரிகை,Conjunctions,'00147
148,சுகாதாரம்,Conjunctions,'00148
149,கல்வி,Conjunctions,'00149
150,பொருளாதாரம்,Conjunctions,'00150
151,அரசியல்,Conjunctions,'00151
152,அம்சம்,Conjunctions,'00152
153,வை,Verb,'00153
154,தொகு,Verb,'00154
155,வெளியாகு,Verb,'00155
156,அண்டை,Adjectives,'00156
157,ஆகியவை,Conjunctions,'00157
158,பிடு,Verb,'00158
159,ஆசியா,Conjunctions,'00159
160,பிடி,Adjectives,'00160
161,அகியவை,Conjunctions,'00161
162,இதழ்,Conjunctions,'00162
163,முறை,Conjunctions,'00163
164,கேள்,Conjunctions,'00164
165,நடத்து,Adjectives,'00165
166,தெரி,Verb,'00166
167,வாசகர்,Conjunctions,'00167
168,ஆரோக்கியம்,Conjunctions,'00168
169,பாதுகாப்பு,Conjunctions,'00169
170,நல்ல,Adjectives,'00170
171,தகுந்த,Adjectives,'00171
172,நாள்,Conjunctions,'00172
173,கருது,Adjectives,'00173
174,பிற,Verb,'00174
175,விரும்பு,Verb,'00175
176,கேள்வி,Conjunctions,'00176
177,பதில்,Conjunctions,'00177
178,தெரிவி,Verb,'00178
179,நேசி,Verb,'00179
180,தலைவர்,Conjunctions,'00180
181,கணிப்பு,Conjunctions,'00181
182,இந்தியா,Conjunctions,'00182
183,பிரதமர்,Conjunctions,'00183
184,முதலிடம்,Conjunctions,'00184
185,குறிப்பிடு,Verb,'00185
186,தகு,Verb,'00186
187,மேலும்,Conjunctions,'00187
188,ஊதியம்,Conjunctions,'00188
189,உயர்வு,Conjunctions,'00189
190,அறிவி,Verb,'00190
191,முன்னர்,Conjunctions,'00191
192,அலுவலகம்,Conjunctions,'00192
193,தொகுதி,Conjunctions,'00193
194,செலவினம்,Conjunctions,'00194
195,படி,Conjunctions,'00195
196,தலா,Adjectives,'00196
197,தலைமை,Conjunctions,'00197
198,நடைபெறு,Adjectives,'00198
199,அமைச்சரவை,Conjunctions,'00199
200,கூட்டம்,Conjunctions,'00200
201,முடிவெடு,Verb,'00201
202,முன்னதாக,Conjunctions,'00202
203,உயர்த்து,Verb,'00203
204,நாடாளுமன்றம்,Conjunctions,'00204
205,கூட்டு,Adjectives,'00205
206,குழு,Conjunctions,'00206
207,பரிந்துரை,Conjunctions,'00207
208,ஏல்,Verb,'00208
209,கடந்த,Adjectives,'00209
210,வாரம்,Conjunctions,'00210
211,பிரிவினர்,Conjunctions,'00211
212,அதிருப்தி,Conjunctions,'00212
213,நிதி,Conjunctions,'00213
214,அமைச்சர்,Conjunctions,'00214
215,ராஷ்ட்ரீயம்,Conjunctions,'00215
216,ஐக்கிய,Adjectives,'00216
217,ஜனதாதளம்,Conjunctions,'00217
218,சனிக்கிழமை,Conjunctions,'00218
219,சந்தி,Verb,'00219
220,விவகாரம்,Conjunctions,'00220
221,உரிய,Adjectives,'00221
222,நடவடிக்கை,Conjunctions,'00222
223,அப்போது,Conjunctions,'00223
224,பல்கலைக்கழகம்,Conjunctions,'00224
225,துணைவேந்தர்,Conjunctions,'00225
226,இன்று,Conjunctions,'00226
227,எதிர்கட்சி,Conjunctions,'00227
228,பேசு,Verb,'00228
229,சந்திப்பு,Conjunctions,'00229
230,மனைவி,Conjunctions,'00230
231,உடன்,Conjunctions,'00231
232,மரியாதை,Conjunctions,'00232
233,நிமித்தம்,Conjunctions,'00233
234,செய்திக்குறிப்பு,Conjunctions,'00234
235,அருள்மிகு,Adjectives,'00235
236,திருக்கோயில்,Conjunctions,'00236
237,ஆவணி,Conjunctions,'00237
238,திருவிழா,Conjunctions,'00238
239,கொடியேற்றம்,Conjunctions,'00239
240,தொடங்கு,Verb,'00240
241,தொடர்,Conjunctions,'00241
242,தொடக்கு,Conjunctions,'00242
243,அதிகாலை,Conjunctions,'00243
