,MorphemeSeparated,Morpheme,Part of Speech,Sub Part of Speech,Case,Tense,Person,Number,Gender,Negation,id
0,"{க,்,க,ி,ன,்,ற}",க்கின்ற,Verb,,,Present,3rd Person,Plural,Honorific,,2035
1,"{க,்,க,ி,ன,்,ற}",க்கின்ற,Verb,,,Present,3rd Person,Plural,,,2035
2,"{ீ,ர,்,க,ள,்}",ீர்கள்,Verb,,,,2nd Person,Singular,,,2018
3,"{ா,ர,்,க,ள,்}",ார்கள்,Verb,,,Present,3rd Person,Plural,Honorific,,2036
4,"{ா,ர,்,க,ள,்}",ார்கள்,Verb,,,Future,3rd Person,Plural,Honorific,,2036
5,"{ா,ர,்,க,ள,்}",ார்கள்,Verb,,,Tenseless,3rd Person,Plural,Honorific,,2036
6,"{ீ,ர,்,க,ள,்}",ீர்கள்,Verb,,,,2nd Person,Plural,,,2018
7,"{க,ி,ன,்,ற}",கின்ற,Verb,,,Present,3rd Person,Plural,Honorific,,2035
8,"{க,ி,ற}",க்கிற,Verb,,,Present,3rd Person,Singular,,,2014
9,"{க,்,க,ி,ற}",க்கிற,Verb,,,,1st Person,Plural,,,2014
10,"{க,்,க,ி,ற}",க்கிற,Verb,,,Present,3rd Person,Plural,Honorific,,2014
11,"{க,்,க,ி,ற}",க்கிற,Verb,,,,3rd Person,Singular,Honorific,,2014
12,"{க,ி,ன,்,ற}",கின்ற,Verb,,,Present,3rd Person,Plural,,,2035
13,"{க,்,க,ி,ற}",க்கிற,Verb,,,,2nd Person,Plural,,,2014
14,"{க,்,க,ி,ற}",க்கிற,Verb,,,,1st Person,Singular,,,2014
15,"{ந,்,த,ு}",ந்து,Verb,Lexical verbal particle,,,,,,,2040
16,"{ந,்,த,்}",ந்த்,Verb,Lexical verbal particle,,,,,,,2019
17,"{ட,்,ட,்}",ட்ட்,Verb,Lexical verbal particle,,,,,,,2022
18,"{ட,்,ட,ு}",ட்டு,Verb,Auxiliary verbal particle,,,,,,,2044
19,"{ி,ட,ம,்}",ிடம்,Verb,,Locative,,,,,,2009
20,"{ந,்,த,்}",ந்த்,Verb,Auxiliary verbal particle,,,,,,,2019
21,"{த,்,த,்}",த்த்,Verb,Auxiliary verbal particle,,,,,,,2021
22,"{ட,்,ட,்}",ட்ட்,Verb,Auxiliary verbal particle,,,,,,,2022
23,"{த,்,த,்}",த்த்,Verb,Lexical verbal particle,,,,,,,2021
24,"{ட,்,ட,ு}",ட்டு,Verb,Lexical verbal particle,,,,,,,2044
25,"{த,்,த,ு}",த்து,Verb,Lexical verbal particle,,,,,,,2006
26,"{க,்,க,்}",க்க்,Verb,,Dative,,,,,,2001
27,"{க,்,க,ு}",க்கு,Verb,,Dative,,,,,,2001
28,"{ு,ட,ன,்}",ுடன்,Verb,,Sociative,,,,,,2011
29,"{த,்,த,ு}",த்து,Verb,Auxiliary verbal particle,,,,,,,2006
30,"{ந,்,த,ு}",ந்து,Verb,Auxiliary verbal particle,,,,,,,2040
31,"{ப,்,ப}",ப்ப,Verb,,,,1st Person,Plural,,,2033
32,"{ந,்,த}",ந்த,Verb,,,,1st Person,Plural,,,2019
33,"{ி,ல,்}",ில்,Verb,,Locative,,,,,,2008
34,"{க,ி,ற}",கிற,Verb,,,,2nd Person,Plural,,,2014
35,"{ன,ர,்}",னர்,Verb,,,Present,3rd Person,Plural,Honorific,,2054
