,Sentence
0,சென்னை அருகே ஸ்ரீ பெரும்புதூரில் கிரீன் பீல்டு ( நவீன ) விமான நிலையத்துக்குக்க்ஆன நிலம் யாருக்கும் பாதிப்பு இல்லாத வகையில் எடுக்கப் படும் என்று முதல்வர் கருணாநிதி உறுதியளித்த்உள்ளார் .
1,"இது தொடர்பாக , அவர் புதன்கிழமை வெளியிட்ட அறிக்கை : ."
2,"நாடு முழுவதும் விமானப் போக்குவரத்தில் ஏற்பட்டு வரும் வளர்ச்சியைக் கருத்தில் கொண்டு , முக்கிய நகரங்களில் உள்ள விமான நிலையங்களை விரிவுபடுத்தவ்உம் , புதிதாக சர்வதேச விமான நிலையங்களை அமைக்கவ்உம் மத்திய அரசு முடிவு செய்தது ."
3,"அதன்படி , புதுதில்லி , மும்பை , கொல்கத்தா , சென்னை ஆகிய விமான நிலையங்களை மேம்படுத்த புதிய திட்டங்கள் உருவாக்கப்பட்டு நிறைவேற்றப் படுகின்றன ."
4,"கர்நாடகத்தில்உம் , ஆந்திரத்தில்உம் கிரீன் பீல்டு விமான நிலையங்களை அமைத்து தமிழகத்தை முந்திக் கொண்டு விட்டனர் ."
5,"ஆனால் , இந்த வரிசையில் சென்னை அருகே அமைக்கப்படஉள்ள கிரீன் பீல்டு விமான நிலையத்துக்கு பாதிப்பு ஏற்படும் வகையில் அதிமுக பொதுச் செயலாளர் ஜெயலலிதா , பா.ம.க. நிறுவனர் ராமதாஸ் ஆகியோர் போராட்ட அறிவிப்பை வெளியிட்ட்உள்ளனர் ."
6,மத்திய அரசு புதிதாகக் கொண்டுவந்த்உள்ள தொல்பொருள் ஆய்வுச் சட்டம் மக்களின் அடிப்படை உரிமைகளைப் பறிக்கும் வகையில் உள்ளதால் அதை திரும்பப் பெற வேண்டும் என மதிமுக பொதுச்செயலர் வைகோ கோரிக்கை விடுத்த்உள்ளார் .
7,இதுகுறித்து அவர் வெளியிட்ட்உள்ள அறிக்கை : .
8,"பண்பாட்டு அடையாளங்களைப் பாதுகாக்க தொல்பொருள் ஆய்வுத் துறை உருவாக்கப்பட்டு , தனிச் சட்டங்கள் இயற்றப்பட்டு உள்ளன ."
9,"ஆனால் , இந்த அமைப்பு உருவாவதற்கு முன்பு அப்பகுதியில் வாழ்ந்தவர்கள் தான் பாதுகாத்து வந்தனர் ."
10,"அப்படிப் பாதுகாத்த மக்களை , அவர்களது வாழ்விடங்கள்இலிருந்து அகற்றி , உள்நாட்டு அகதிகள்ஆக மாற்றுகின்ற வகையில் , மத்தியில் ஆளும் காங்கிரஸ் - தி.மு.க. கூட்டணி அரசு புதிதாக ஒரு தொல்பொருள் ஆய்வுச் சட்டத்தைக் கொண்டு வந்து உள்ளது ."
11,"இச்சட்டம்குறித்து , தமிழ் உள்ளிட்ட மாநில மொழிகளில்உம் மற்றும் ஆங்கிலத்தில்உம் அனைத்து நாளிதழ்களில்உம் முழுப்பக்க அளவில் விளம்பரப்படுத்தி உள்ளது ."
12,"புதிய சட்டத்தின் படி , பாதுகாக்கப்பட்ட நினைவுச் சின்னத்த்இலிருந்து 1000 அடி வரை எந்த கட்டுமானம்உம் கட்ட அனுமதி இல்லை ."
13,மீறுவோருக்கு ஒரு லட்சம் அபராதத் தொகைய் உடன் மூன்று ஆண்டுகள் சிறைத் தண்டனை .
