,VC,id
0,ாக,5131
1,ிய,4020
2,ிக,5133
3,ின,4007
4,ில,4008
5,ாஸ,5136
6,ிங,5137
7,ெம,5138
8,ால,4005
9,ுள,5140
10,அப,5141
11,ும,4027
12,ுச,5143
13,ெல,5144
14,ாவ,5145
15,ான,5146
16,அர,5147
17,ெஸ,5148
18,ே.,5149
19,ிந,5150
20,ாத,5151
21,ுக,5152
22,ெங,5153
23,ுங,5154
24,ோம,4032
25,ேர,5156
26,அவ,5157
27,அல,5158
28,ிவ,5159
29,ாம,5160
30,ென,5161
31,ீழ,5162
32,ெத,5163
33,ாப,5164
34,ிச,5165
35,ார,4029
36,அன,5167
37,ெக,5168
38,ேத,5169
39,ிற,5170
40,ுத,5171
41,ை.,5172
42,ாண,5173
43,அஜ,5174
44,அத,5175
45,ிஸ,5176
