,form,Type,id
0,இருக்கிறீர்கள்,Verb,1000
1,இருக்கினறனர்,Verb,1001
2,காட்டிலும்,Particles,1002
3,இடமிருந்து,Conjunctions,1003
4,இருக்கிறது,Verb,1004
5,இருக்கின்ற,Adjectives,1005
6,இருந்தார்,Verb,1006
7,இருந்தால்,Verb,1007
8,இலிருந்து,Conjunctions,1008
9,கொடுப்பத்,Particles,1009
10,குறைவாகவே,Quantifiers,1010
11,இருக்கும்,Adjectives,1011
12,தொடர்ந்து,Conjunctions,1012
13,மத்தியில்,Conjunctions,1013
14,முழுவதும்,Quantifiers,1014
15,மாட்டாது,Verb,1015
16,என்பதால்,Particles,1016
17,குறித்த்,Conjunctions,1017
18,இருப்பத்,Verb,1018
19,சார்பில்,Conjunctions,1019
20,உள்ளதால்,Verb,1020
21,தொடர்பான,Conjunctions,1021
22,இருந்தது,Verb,1022
23,உள்ளாகவே,Conjunctions,1023
24,இருக்கிற,Adjectives,1024
25,குறித்து,Conjunctions,1025
26,Kஉறித்த்,Conjunctions,1026
27,ஆகியதால்,Verb,1027
28,என்பதைய்,Particles,1028
29,இருந்தத்,Verb,1029
30,இல்லாமல்,Conjunctions,1030
31,உள்ளதைய்,Verb,1031
32,வேண்டும்,Verb,1032
33,முன்னால்,Conjunctions,1033
34,தொடர்பாக,Conjunctions,1034
35,எடுப்பத்,Particles,1035
36,சேர்த்து,Conjunctions,1036
37,இருந்து,Verb,1037
38,அல்லாது,Conjunctions,1038
39,அந்தந்த,Determiners,1039
40,உள்ளார்,Verb,1040
41,இடையில்,Conjunctions,1041
42,மிகவும்,Quantifiers,1042
43,அடுத்து,Verb,1043
44,உள்ளோம்,Verb,1044
45,மட்டுமே,Particles,1045
46,குறித்த,Conjunctions,1046
47,உள்ளனர்,Verb,1047
48,பின்னர்,Conjunctions,1048
49,மற்றும்,Conjunctions,1049
50,பட்டார்,Verb,1050
51,எல்லாம்,Conjunctions,1051
52,கொஞ்சம்,Quantifiers,1052
53,சார்ந்த,Conjunctions,1053
54,எதிரில்,Conjunctions,1054
55,என்றால்,Particles,1055
56,சேர்ந்த,Conjunctions,1056
57,இருந்தன,Verb,1057
58,உள்ளேன்,Verb,1058
59,கூடும்,Verb,1059
60,இல்லாத,Conjunctions,1060
61,பற்றிய,Conjunctions,1061
62,அந்தப்,Determiners,1062
63,அதிகம்,Quantifiers,1063
64,முறையே,Conjunctions,1064
65,என்பது,Particles,1065
66,இந்தப்,Determiners,1066
67,வழியாக,Conjunctions,1067
68,அந்தக்,Determiners,1068
69,எதிரான,Conjunctions,1069
70,அல்லது,Conjunctions,1070
71,அல்லாத,Conjunctions,1071
72,அந்தச்,Determiners,1072
73,என்கிற,Particles,1073
74,இந்தத்,Determiners,1074
75,முழுக்,Quantifiers,1075
76,என்பதை,Particles,1076
77,முன்பே,Conjunctions,1077
78,அந்தத்,Determiners,1078
79,மீதும்,Conjunctions,1079
80,உள்ளது,Verb,1080
81,எந்தத்,Determiners,1081
82,பட்டது,Verb,1082
83,உள்ளத்,Verb,1083
84,மூலமாக,Conjunctions,1084
85,இருந்த,Adjectives,1085
86,உள்ளன,Verb,1086
87,இன்றி,Conjunctions,1087
88,பட்ட்,Verb,1088
89,ஒட்டி,Conjunctions,1089
90,பட்டு,Verb,1090
91,முதல்,Conjunctions,1091
92,கொண்ட,Conjunctions,1092
93,உட்பட,Conjunctions,1093
94,அருகே,Conjunctions,1094
95,ஆனால்,Verb,1095
96,பிறகே,Particles,1096
97,மூலம்,Conjunctions,1097
98,பிறகு,Conjunctions,1098
99,மிகச்,Quantifiers,1099
100,இடையே,Conjunctions,1100
101,இல்லை,Verb,1101
102,அன்று,Conjunctions,1102
103,என்று,Particles,1103
104,மிகப்,Quantifiers,1104
105,என்ற்,Particles,1105
106,போன்ற,Conjunctions,1106
107,உடன்,Conjunctions,1107
108,படக்,Verb,1108
109,ஆவது,Particles,1109
110,ஆகக்,Conjunctions,1110
111,ஆகப்,Conjunctions,1111
112,ஆகத்,Particles,1112
113,தவிர,Conjunctions,1113
114,என்ற,Particles,1114
115,உள்ள,Adjectives,1115
116,அந்த,Determiners,1116
117,அதிக,Quantifiers,1117
118,கீழ்,Conjunctions,1118
119,மீத்,Conjunctions,1119
120,மீது,Conjunctions,1120
121,எனவ்,Particles,1121
122,அற்ற,Conjunctions,1122
123,இடம்,Conjunctions,1123
124,எனத்,Particles,1124
125,போது,Particles,1125
126,ப்பட,Verb,1126
127,ஆகவ்,Particles,1127
128,எனக்,Particles,1128
129,எந்த,Determiners,1129
130,தான்,Particles,1130
131,இந்த,Determiners,1131
132,உரிய,Adjectives,1132
133,பட்ட,Adjectives,1133
134,ஆகச்,Conjunctions,1134
135,இச்,Determiners,1135
136,உள்,Conjunctions,1136
137,அப்,Determiners,1137
138,உம்,Particles,1138
139,கூட,Particles,1139
140,இப்,Determiners,1140
141,ஒரு,Determiners,1141
142,ஆறு,Particles,1142
143,ஏய்,Particles,1143
144,ஏயே,Particles,1144
145,இந்,Determiners,1145
146,ஆம்,Verb,1146
147,மிக,Quantifiers,1147
148,விட,Particles,1148
149,ஓடு,Conjunctions,1149
150,படி,Conjunctions,1150
151,அந்,Determiners,1151
152,வரை,Conjunctions,1152
153,போல,Conjunctions,1153
154,ஆக,Conjunctions,1154
155,ஆன,Particles,1155
156,என,Particles,1156
157,பட,Verb,1157
158,ஓ,Particles,1158
159,ஆ,Particles,1159
160,ஏ,Particles,1160
