,lemma,Type,id
0,நவீனம்,Adjectives,2000
1,விமானம்,Noun,2001
2,நிலையம்,Noun,2002
3,நிலம்,Noun,2003
4,பாதிப்பு,Noun,2004
5,வகை,Noun,2005
6,எடு,Verb,2006
7,படு,Verb,2007
8,முதல்வர்,Noun,2008
9,உறுதியளி,Verb,2009
10,உள்,Verb,2010
11,தொடர்பு,Adverb,2011
12,புதன்கிழமை,Noun,2012
13,வெளியிடு,Adjectives,2013
14,அறிக்கை,Noun,2014
15,நாடு,Noun,2015
16,போக்குவரத்து,Noun,2016
17,ஏற்படு,Verb,2017
18,வரு,Adjectives,2018
19,வளர்ச்சி,Noun,2019
20,கருத்து,Noun,2020
21,கொள்,Verb,2021
22,முக்கியம்,Adjectives,2022
23,நகரம்,Noun,2023
24,விரிவுபடுத்து,Verb,2024
25,புதிது,Adverb,2025
26,சர்வதேசம்,Adjectives,2026
27,அமை,Verb,2027
28,மத்திய,Adjectives,2028
29,அரசு,Noun,2029
30,முடிவு,Noun,2030
31,செய்,Verb,2031
32,அதன்படி,Adverb,2032
33,ஆகு,Adjectives,2033
34,மேம்படுத்து,Verb,2034
35,புதிய,Adjectives,2035
36,திட்டம்,Noun,2036
37,உருவாகு,Verb,2037
38,நிறைவேற்று,Verb,2038
39,ஆந்திரம்,Noun,2039
40,முந்து,Verb,2040
41,விடு,Verb,2041
42,ஆனால்,Adverb,2042
43,வரிசை,Noun,2043
44,பொது,Noun,2044
45,செயலாளர்,Noun,2045
46,நிறுவனர்,Noun,2046
47,ஆகியோர்,Noun,2047
48,போராட்டம்,Adjectives,2048
49,அறிவிப்பு,Noun,2049
50,கொண்டுவா,Verb,2050
51,தொல்பொருள்,Noun,2051
52,ஆய்வு,Noun,2052
53,சட்டம்,Noun,2053
54,மக்கள்,Noun,2054
55,அடிப்படை,Noun,2055
56,உரிமை,Noun,2056
57,பறி,Adjectives,2057
58,திரும்பு,Verb,2058
59,பெறு,Verb,2059
60,வேண்டு,Verb,2060
61,பொதுச்செயலர்,Noun,2061
62,கோரிக்கை,Noun,2062
63,இதுகுறித்து,Adverb,2063
64,பண்பாடு,Noun,2064
65,அடையாளம்,Noun,2065
66,பாதுகா,Verb,2066
67,துறை,Noun,2067
68,தனி,Adjectives,2068
69,இயற்று,Verb,2069
70,அமைப்பு,Noun,2070
71,முன்பு,Adverb,2071
72,பகுதி,Noun,2072
73,வாழ்,Noun,2073
74,வா,Verb,2074
75,அப்படி,Adverb,2075
76,வாழ்விடம்,Noun,2076
77,அகற்று,Verb,2077
78,உள்நாடு,Noun,2078
79,அகதி,Noun,2079
80,மாற்று,Adjectives,2080
81,மத்தி,Noun,2081
82,ஆளு,Adjectives,2082
83,கூட்டணி,Noun,2083
84,ஒரு,Adjectives,2084
85,உள்ளிடு,Adjectives,2085
86,மாநிலம்,Noun,2086
87,மொழி,Noun,2087
88,ஆங்கிலம்,Noun,2088
89,அனைத்து,Adjectives,2089
90,நாளிதழ்,Noun,2090
91,முழுப்பக்கம்,Adjectives,2091
92,அளவு,Noun,2092
93,விளம்பரப்படு,Verb,2093
94,நினைவு,Noun,2094
95,சின்னம்,Noun,2095
96,1000,Numerals,2096
97,அடி,Noun,2097
98,கட்டுமானம்,Noun,2098
99,கட்டு,Verb,2099
100,அனுமதி,Noun,2100
101,இல்,Verb,2101
102,மீறுவோர்,Noun,2102
103,லட்சம்,Numerals,2103
104,அபராதம்,Noun,2104
105,தொகை,Noun,2105
106,மூன்று,Numerals,2106
107,ஆண்டு,Noun,2107
108,சிறை,Noun,2108
109,தண்டனை,Noun,2109
110,குடும்பத்தினர்,Noun,2110
111,எண்ணிக்கை,Noun,2111
112,பெருகு,Verb,2112
113,இடம்,Noun,2113
114,நெருக்கடி,Noun,2114
115,நிலை,Noun,2115
116,மூதாதையர்,Noun,2116
117,வீடு,Noun,2117
118,விரிவாக்கம்,Noun,2118
119,கூடுதல்,Adjectives,2119
120,அறை,Noun,2120
121,தாழ்வாரம்,Noun,2121
122,கழிப்பு,Noun,2122
123,உரிமையாளர்,Noun,2123
124,சம்பந்தப்பட்ட,Adjectives,2124
125,அதிகாரி,Noun,2125
126,தண்டி,Verb,2126
127,ஏற்கனவே,Adverb,2127
128,ஆய்வுத்துறை,Noun,2128
129,இரு,Verb,2129
130,இடி,Verb,2130
131,அதிகாரம்,Noun,2131
132,வழங்கு,Verb,2132
133,மின்,Noun,2133
134,இணைப்பு,Noun,2134
135,இனி,Adverb,2135
136,மாட்டு,Verb,2136
137,சுதந்திரம்,Noun,2137
138,மீன்பிடி,Noun,2138
139,ஒழுங்குமுறை,Noun,2139
140,எதிர்,Verb,2140
141,மீனவ,Noun,2141
142,கிளர்,Verb,2142
143,எழு,Verb,2143
144,போராடு,Verb,2144
145,உலகம்,Noun,2145
146,சிறந்த,Adjectives,2146
147,பட்டியல்,Noun,2147
148,78,Numerals,2148
149,கிடை,Verb,2149
150,அமெரிக்கா,Noun,2150
151,பத்திரிகை,Noun,2151
152,சுகாதாரம்,Noun,2152
153,கல்வி,Noun,2153
154,பொருளாதாரம்,Noun,2154
155,அரசியல்,Noun,2155
156,அம்சம்,Noun,2156
157,வை,Verb,2157
158,தொகு,Verb,2158
159,வெளியாகு,Verb,2159
160,அண்டை,Adjectives,2160
161,59,Numerals,2161
162,66,Numerals,2162
163,ஆகியவை,Noun,2163
164,88,Numerals,2164
165,89,Numerals,2165
166,பிடு,Verb,2166
167,ஆசியா,Noun,2167
168,முதல்,Numerals,2168
169,20,Numerals,2169
170,நான்கு,Numerals,2170
171,பிடி,Adjectives,2171
172,அகியவை,Noun,2172
173,11,Numerals,2173
174,12,Numerals,2174
175,14,Numerals,2175
176,இதழ்,Noun,2176
177,முறை,Adverb,2177
178,கேள்,Noun,2178
179,நடத்து,Adjectives,2179
180,தெரி,Verb,2180
181,வாசகர்,Noun,2181
182,ஆரோக்கியம்,Noun,2182
183,பாதுகாப்பு,Noun,2183
184,நல்ல,Adjectives,2184
185,தகுந்த,Adjectives,2185
186,நாள்,Noun,2186
187,கருது,Adjectives,2187
188,பிற,Verb,2188
189,விரும்பு,Verb,2189
190,கேள்வி,Noun,2190
191,பதில்,Noun,2191
192,தெரிவி,Verb,2192
193,நேசி,Verb,2193
194,தலைவர்,Noun,2194
195,கணிப்பு,Noun,2195
196,இந்தியா,Noun,2196
197,பிரதமர்,Noun,2197
198,முதலிடம்,Noun,2198
199,குறிப்பிடு,Verb,2199
200,தகு,Verb,2200
201,மேலும்,Adverb,2201
202,10,Numerals,2202
203,ஆயிரம்,Numerals,2203
204,ஊதியம்,Noun,2204
205,உயர்வு,Noun,2205
206,அறிவி,Verb,2206
207,முன்னர்,Adverb,2207
208,அலுவலகம்,Noun,2208
209,தொகுதி,Noun,2209
210,செலவினம்,Noun,2210
211,படி,Noun,2211
212,தலா,Adjectives,2212
213,5,Numerals,2213
214,தலைமை,Noun,2214
215,நடைபெறு,Adjectives,2215
216,அமைச்சரவை,Noun,2216
217,கூட்டம்,Noun,2217
218,முடிவெடு,Verb,2218
219,முன்னதாக,Adverb,2219
220,16,Numerals,2220
221,80,Numerals,2221
222,உயர்த்து,Verb,2222
223,நாடாளுமன்றம்,Noun,2223
224,கூட்டு,Adjectives,2224
225,குழு,Noun,2225
226,பரிந்துரை,Noun,2226
227,ஏல்,Verb,2227
228,கடந்த,Adjectives,2228
229,வாரம்,Noun,2229
230,50,Numerals,2230
231,பிரிவினர்,Noun,2231
232,அதிருப்தி,Noun,2232
233,நிதி,Noun,2233
234,அமைச்சர்,Noun,2234
