,MorphemeSeparated,Morpheme,id,Part of Speech,Tense,Person,Number,Gender,Sub Part of Speech,Case,Negation
0,"{க,்,க,ி,ன,்,ற}",கினற,4035,Verb,Present,3rd Person,Plural,Honorific,,,
1,"{க,்,க,ி,ன,்,ற}",கினற,4035,Verb,Present,3rd Person,Plural,,,,
2,"{ீ,ர,்,க,ள,்}",ீரகள,4018,Verb,,2nd Person,Singular,,,,
3,"{ா,ர,்,க,ள,்}",ாரகள,4036,Verb,Present,3rd Person,Plural,Honorific,,,
4,"{ா,ர,்,க,ள,்}",ாரகள,4036,Verb,Future,3rd Person,Plural,Honorific,,,
5,"{ா,ர,்,க,ள,்}",ாரகள,4036,Verb,Tenseless,3rd Person,Plural,Honorific,,,
6,"{ீ,ர,்,க,ள,்}",ீரகள,4018,Verb,,2nd Person,Plural,,,,
7,"{க,ி,ன,்,ற}",கினற,4035,Verb,Present,3rd Person,Plural,Honorific,,,
8,"{க,ி,ற}",கிற,4014,Verb,Present,3rd Person,Singular,,,,
9,"{க,்,க,ி,ற}",கிற,4014,Verb,,1st Person,Plural,,,,
10,"{க,்,க,ி,ற}",கிற,4014,Verb,Present,3rd Person,Plural,Honorific,,,
11,"{க,்,க,ி,ற}",கிற,4014,Verb,,3rd Person,Singular,Honorific,,,
12,"{க,ி,ன,்,ற}",கினற,4035,Verb,Present,3rd Person,Plural,,,,
13,"{க,்,க,ி,ற}",கிற,4014,Verb,,2nd Person,Plural,,,,
14,"{க,்,க,ி,ற}",கிற,4014,Verb,,1st Person,Singular,,,,
15,"{ந,்,த,ு}",நது,4040,Verb,,,,,Lexical verbal particle,,
16,"{ந,்,த,்}",நத,4019,Verb,,,,,Lexical verbal particle,,
17,"{ட,்,ட,்}",ட,4022,Verb,,,,,Lexical verbal particle,,
18,"{ட,்,ட,ு}",டு,4044,Verb,,,,,Auxiliary verbal particle,,
19,"{ி,ட,ம,்}",ிடம,4009,,,,,,,Locative,
20,"{ந,்,த,்}",நத,4019,Verb,,,,,Auxiliary verbal particle,,
21,"{த,்,த,்}",த,4021,Verb,,,,,Auxiliary verbal particle,,
22,"{ட,்,ட,்}",ட,4022,Verb,,,,,Auxiliary verbal particle,,
23,"{த,்,த,்}",த,4021,Verb,,,,,Lexical verbal particle,,
24,"{ட,்,ட,ு}",டு,4044,Verb,,,,,Lexical verbal particle,,
25,"{த,்,த,ு}",து,4006,Verb,,,,,Lexical verbal particle,,
26,"{க,்,க,்}",க,4001,,,,,,,Dative,
